path,id_comicbook,id_comicbook_info,calidad,en_papelera
/mnt/Green/Comics/0-Day Week of 2016.11.02/Moon Knight 008 (2017) (digital) (Oroboros-DCP).cbr,402,,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Spider-Man 2099 017 (2017) (digital) (Minutemen-Midas).cbr,405,556478,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Catwoman - Election Night 001 (2017) (2 covers) (Digital) (Zone-Empire).cbr,409,,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Catwoman - Election Night 001 (2017) (GreenGiant-DCP).cbr,410,,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Champions 002 (2017) (digital) (Oroboros-DCP).cbr,412,,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Champions 002 (2017) (Digital) (Zone-Empire).cbr,413,,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Cyborg 004 (2017) (2 covers) (digital) (Minutemen-Slayer).cbr,415,556444,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Cyborg 004 (2017) (2 covers) (Digital) (Zone-Empire).cbr,416,556444,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Cyborg 04 (2016) (Webrip) (The Last Kryptonian-DCP).cbr,417,556444,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Deadpool & the Mercs for Money 005 (2017) (digital) (Minutemen-Slayer).cbr,423,,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Deadpool & The Mercs For Money 005 (2017) (digital) (Oroboros-DCP).cbr,424,,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Deadpool & The Mercs For Money 005 (2017) (Digital) (Zone-Empire).cbr,425,,0,0
